# bigram	count	reason	w0_pos	w1_pos
well then	499	both_ambiguous	{Verb, Adj}	{Adv, Prep}
old friend	499	both_ambiguous	{Noun, Adj}	{Noun, Verb}
one might	499	both_ambiguous	{Noun, Verb, Adj}	{Verb, Adj}
too long	496	w1_ambiguous	{Adv}	{Adv, Adj, Noun, Prep}
two thousand	494	w1_ambiguous	{Noun}	{Adj, Noun}
should come	494	both_ambiguous	{Adj, Verb}	{Verb, Adj, Noun}
second time	493	both_ambiguous	{Noun, Adj}	{Verb, Noun}
spot where	493	both_ambiguous	{Verb, Noun}	{Noun, Adv, Prep}
say nothing	493	both_ambiguous	{Verb, Adj, Noun}	{Adv, Noun}
other people	491	both_ambiguous	{Adv, Prep}	{Verb, Noun}
one night	490	w0_ambiguous	{Noun, Verb, Adj}	{Noun}
get away	490	w0_ambiguous	{Verb, Noun}	{Adv}
whole world	489	w0_ambiguous	{Noun, Adj}	{Noun}
nothing could	488	both_ambiguous	{Adv, Noun}	{Adj, Verb}
cold water	487	both_ambiguous	{Verb, Noun}	{Verb, Noun}
shalt thou	486	w0_missing	NONE	{Verb}
some little	485	w1_ambiguous	{Adj}	{Adj, Noun, Adv}
will bring	484	w0_ambiguous	{Adv, Noun, Verb}	{Verb}
thousand pounds	483	w0_ambiguous	{Adj, Noun}	{Noun}
old age	483	both_ambiguous	{Noun, Adj}	{Verb, Noun}
look out	480	both_ambiguous	{Verb, Noun}	{Verb, Noun, Adj}
left behind	479	both_ambiguous	{Verb, Adj, Noun}	{Adj, Adv, Noun}
old gentleman	477	w0_ambiguous	{Noun, Adj}	{Noun}
look like	473	both_ambiguous	{Verb, Noun}	{Verb, Noun, Adj}
would probably	473	w0_ambiguous	{Adj, Verb, Noun}	{Adv}
too far	473	w1_ambiguous	{Adv}	{Adv, Noun, Adj}
little man	472	both_ambiguous	{Adj, Noun, Adv}	{Noun, Verb}
some sort	472	w1_ambiguous	{Adj}	{Noun, Verb}
good man	472	both_ambiguous	{Noun, Adv, Verb, Adj}	{Noun, Verb}
can say	468	both_ambiguous	{Noun, Verb}	{Verb, Adj, Noun}
about three	467	both_ambiguous	{Adv, Prep}	{Adj, Noun}
said miss	466	both_ambiguous	{Verb, Adj}	{Noun, Verb}
thus saith	464	w1_missing	{Adv, Noun}	NONE
should go	463	both_ambiguous	{Adj, Verb}	{Adj, Verb, Noun}
other day	462	w0_ambiguous	{Adv, Prep}	{Noun}
own way	460	both_ambiguous	{Verb, Adj}	{Verb, Adv, Noun}
set down	460	both_ambiguous	{Noun, Adj, Verb}	{Noun, Adj, Prep, Verb, Adv}
left hand	459	both_ambiguous	{Verb, Adj, Noun}	{Noun, Verb}
take place	457	w0_ambiguous	{Verb, Noun, Adj}	{Noun}
can give	457	both_ambiguous	{Noun, Verb}	{Noun, Verb}
talking about	457	both_ambiguous	{Verb, Adj, Noun}	{Adv, Prep}
good night	456	w0_ambiguous	{Noun, Adv, Verb, Adj}	{Noun}
more like	455	both_ambiguous	{Verb, Noun, Adj, Adv}	{Verb, Noun, Adj}
must needs	455	w0_ambiguous	{Verb, Noun}	{Adv}
one more	454	both_ambiguous	{Noun, Verb, Adj}	{Verb, Noun, Adj, Adv}
can find	453	both_ambiguous	{Noun, Verb}	{Verb, Noun}
taken place	451	w0_missing	NONE	{Noun}
come home	450	both_ambiguous	{Verb, Adj, Noun}	{Noun, Adj, Adv}
too well	450	w1_ambiguous	{Adv}	{Verb, Adj}
never mind	449	w1_ambiguous	{Adv}	{Noun, Verb}
after some	449	w0_ambiguous	{Adj, Prep, Adv}	{Adj}
know about	449	both_ambiguous	{Noun, Verb}	{Adv, Prep}
some way	448	w1_ambiguous	{Adj}	{Verb, Adv, Noun}
thou didst	448	w1_missing	{Verb}	NONE
could scarcely	444	w0_ambiguous	{Adj, Verb}	{Adv}
will soon	443	both_ambiguous	{Adv, Noun, Verb}	{Adv, Adj}
poor little	441	both_ambiguous	{Adj, Noun}	{Adj, Noun, Adv}
broke out	440	both_ambiguous	{Adj, Verb}	{Verb, Noun, Adj}
something more	440	both_ambiguous	{Noun, Adv}	{Verb, Noun, Adj, Adv}
only two	439	w0_ambiguous	{Adj, Prep}	{Noun}
came over	438	both_ambiguous	{Verb, Noun, Adj}	{Adj, Prep, Noun, Adv}
stood up	437	both_ambiguous	{Adj, Verb}	{Adv, Prep, Noun, Adj}
very fine	436	both_ambiguous	{Verb, Adv}	{Verb, Noun, Adj}
one must	436	both_ambiguous	{Noun, Verb, Adj}	{Verb, Noun}
may see	436	both_ambiguous	{Verb, Noun}	{Noun, Verb}
feet high	435	w1_ambiguous	{Noun}	{Adv, Adj, Noun, Verb}
will say	435	both_ambiguous	{Adv, Noun, Verb}	{Verb, Adj, Noun}
got out	435	both_ambiguous	{Adj, Verb}	{Verb, Noun, Adj}
common sense	433	w0_ambiguous	{Verb, Noun}	{Verb}
last time	432	both_ambiguous	{Adj, Noun, Verb}	{Verb, Noun}
one year	431	w0_ambiguous	{Noun, Verb, Adj}	{Noun}
up here	431	both_ambiguous	{Adv, Prep, Noun, Adj}	{Adv, Noun}
make out	430	both_ambiguous	{Verb, Noun}	{Verb, Noun, Adj}
one word	429	both_ambiguous	{Noun, Verb, Adj}	{Noun, Verb}
must know	427	both_ambiguous	{Verb, Noun}	{Noun, Verb}
given up	427	both_ambiguous	{Verb, Adv, Adj}	{Adv, Prep, Noun, Adj}
cannot tell	427	w0_missing	NONE	{Verb, Noun}
time before	426	both_ambiguous	{Verb, Noun}	{Prep, Adv}
good time	426	both_ambiguous	{Noun, Adv, Verb, Adj}	{Verb, Noun}
other way	426	both_ambiguous	{Adv, Prep}	{Verb, Adv, Noun}
up there	425	w1_missing	{Adv, Prep, Noun, Adj}	NONE
man may	425	both_ambiguous	{Noun, Verb}	{Verb, Noun}
could tell	425	both_ambiguous	{Adj, Verb}	{Verb, Noun}
passed away	425	w0_ambiguous	{Adj, Verb}	{Adv}
stood there	424	w1_missing	{Adj, Verb}	NONE
too many	423	w1_ambiguous	{Adv}	{Noun, Adj}
shall make	422	w0_missing	NONE	{Verb, Noun}
young ladies	421	w0_ambiguous	{Adj, Noun}	{Noun}
good many	420	both_ambiguous	{Noun, Adv, Verb, Adj}	{Noun, Adj}
little time	420	both_ambiguous	{Adj, Noun, Adv}	{Verb, Noun}
set forth	420	both_ambiguous	{Noun, Adj, Verb}	{Prep, Adv, Noun}
gone out	418	both_ambiguous	{Adj, Verb}	{Verb, Noun, Adj}
many people	418	both_ambiguous	{Noun, Adj}	{Verb, Noun}
thy name	418	w0_missing	NONE	{Noun}
thy god	416	w0_missing	NONE	{Adj, Noun, Verb}
passed over	415	both_ambiguous	{Adj, Verb}	{Adj, Prep, Noun, Adv}
good old	415	both_ambiguous	{Noun, Adv, Verb, Adj}	{Noun, Adj}
far off	415	both_ambiguous	{Adv, Noun, Adj}	{Adj, Prep, Noun, Adv}
there should	413	w0_missing	NONE	{Adj, Verb}
set off	412	both_ambiguous	{Noun, Adj, Verb}	{Adj, Prep, Noun, Adv}
ha ha	412	both_missing	NONE	NONE
young people	412	both_ambiguous	{Adj, Noun}	{Verb, Noun}
thine own	411	w0_missing	NONE	{Verb, Adj}
there could	411	w0_missing	NONE	{Adj, Verb}
man could	411	both_ambiguous	{Noun, Verb}	{Adj, Verb}
even then	410	both_ambiguous	{Noun, Verb, Adj}	{Adv, Prep}
went off	408	both_ambiguous	{Verb, Adj, Noun}	{Adj, Prep, Noun, Adv}
looked out	407	both_ambiguous	{Verb, Adj}	{Verb, Noun, Adj}
good enough	407	both_ambiguous	{Noun, Adv, Verb, Adj}	{Noun, Adj, Adv}
then take	407	both_ambiguous	{Adv, Prep}	{Verb, Noun, Adj}
first thing	407	w0_ambiguous	{Adv, Noun, Adj}	{Noun}
rose up	405	both_ambiguous	{Noun, Verb, Adj}	{Adv, Prep, Noun, Adj}
very long	405	both_ambiguous	{Verb, Adv}	{Adv, Adj, Noun, Prep}
go through	404	both_ambiguous	{Adj, Verb, Noun}	{Adv, Adj, Prep}
then put	404	both_ambiguous	{Adv, Prep}	{Noun, Adj, Verb}
take away	403	w0_ambiguous	{Verb, Noun, Adj}	{Adv}
drawn up	402	both_ambiguous	{Verb, Adj}	{Adv, Prep, Noun, Adj}
there shall	402	both_missing	NONE	NONE
put down	402	both_ambiguous	{Noun, Adj, Verb}	{Noun, Adj, Prep, Verb, Adv}
held up	401	both_ambiguous	{Adj, Verb}	{Adv, Prep, Noun, Adj}
three thousand	401	both_ambiguous	{Adj, Noun}	{Adj, Noun}
look after	397	both_ambiguous	{Verb, Noun}	{Adj, Prep, Adv}
boiling water	397	both_ambiguous	{Noun, Verb, Adj}	{Verb, Noun}
one end	395	both_ambiguous	{Noun, Verb, Adj}	{Noun, Verb}
would find	395	both_ambiguous	{Adj, Verb, Noun}	{Verb, Noun}
old heck	394	w0_ambiguous	{Noun, Adj}	{Noun}
man should	393	both_ambiguous	{Noun, Verb}	{Adj, Verb}
something else	392	w1_missing	{Noun, Adv}	NONE
get rid	392	both_ambiguous	{Verb, Noun}	{Verb, Adj}
simple ideas	390	w0_ambiguous	{Adj, Verb}	{Noun}
very soon	390	both_ambiguous	{Verb, Adv}	{Adv, Adj}
poor man	390	both_ambiguous	{Adj, Noun}	{Noun, Verb}
going out	390	both_ambiguous	{Verb, Noun}	{Verb, Noun, Adj}
well sir	389	w0_ambiguous	{Verb, Adj}	{Noun}
thus far	388	both_ambiguous	{Adv, Noun}	{Adv, Noun, Adj}
low voice	388	both_ambiguous	{Adv, Adj, Noun, Verb}	{Verb, Noun}
wait till	388	w1_ambiguous	{Verb}	{Prep, Noun, Verb}
too great	388	w1_ambiguous	{Adv}	{Noun, Adj}
shall take	387	w0_missing	NONE	{Verb, Noun, Adj}
human life	386	w0_ambiguous	{Noun, Adj}	{Noun}
stay here	386	both_ambiguous	{Verb, Noun}	{Adv, Noun}
nothing can	384	both_ambiguous	{Adv, Noun}	{Noun, Verb}
young girl	383	w0_ambiguous	{Adj, Noun}	{Noun}
passing through	383	both_ambiguous	{Noun, Adj, Adv, Verb}	{Adv, Adj, Prep}
must take	383	both_ambiguous	{Verb, Noun}	{Verb, Noun, Adj}
long after	381	both_ambiguous	{Adv, Adj, Noun, Prep}	{Adj, Prep, Adv}
went through	381	both_ambiguous	{Verb, Adj, Noun}	{Adv, Adj, Prep}
